eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
0.5454,0.8081,0.947,0.7321,0.0035,0.0544,2024-02-01 00:55:44
0.7304,0.7612,0.8062,0.3038,-0.1001,0.0608,2024-02-01 01:10:18
0.5877,0.4736,0.7475,1.1164,-0.9784,-0.0259,2024-02-01 01:24:55
0.8154,0.3229,0.0235,0.1569,-0.9908,-0.2804,2024-02-01 01:39:49
0.8485,0.1785,0.8229,9,4,1,2024-02-01 01:41:40
0.8588,0.5427,0.6875,0.15,-0.7781,0.0918,2024-02-01 01:56:13
0.8183,0.1735,0.417,0.175,4,1,2024-02-01 01:58:51
0.9202,0.647,0.4415,0.1295,-0.436,0.0791,2024-02-01 02:13:26
0.5961,0.1079,0.8846,9,4,1,2024-02-01 02:15:13
0.6846,0.9092,0.1857,0.3921,0.0518,0.0468,2024-02-01 02:29:45
0.6258,0.0485,0.1371,0.4079,4,1,2024-02-01 02:32:23
0.9437,0.384,0.5613,0.1892,0.0262,4.2295,2024-02-01 02:44:49
0.7502,0.3802,0.358,0.2738,-0.8547,-0.3145,2024-02-01 02:59:45
0.9071,0.1819,0.4301,0.1185,4,1,2024-02-01 03:02:26
0.9165,0.2238,0.0398,0.1296,4,1,2024-02-01 03:05:10
0.531,0.6612,0.7575,0.9332,-0.3908,0.0776,2024-02-01 03:19:43
0.9985,0.2889,0.394,0.1102,4,1,2024-02-01 03:22:32
0.8512,0.051,0.2489,0.1262,4,1,2024-02-01 03:25:09
0.6324,0.4666,0.3609,0.5976,-0.2094,14.7103,2024-02-01 03:41:03
0.7689,0.7319,0.7712,0.2411,-0.1796,0.0655,2024-02-01 03:55:45
1.0,1.0,0.0,9,4,1,2024-02-01 03:57:28
1.0,1.0,1.0,9,4,1,2024-02-01 03:59:10
0.5,1.0,0.5492,9,4,1,2024-02-01 04:00:50
0.5,1.0,0.0,0.997,-0.6625,0.0708,2024-02-01 04:15:30
1.0,1.0,0.4798,9,4,1,2024-02-01 04:17:12
1.0,0.5204,1.0,9,-0.8579,0.1079,2024-02-01 04:31:01
1.0,0.0,1.0,9,4,1,2024-02-01 04:32:45
0.5,0.6053,0.0,0.997,-0.6625,0.0708,2024-02-01 04:47:36
1.0,0.6327,0.0,9,4,1,2024-02-01 04:49:19
0.5,0.0,0.55,9,4,1,2024-02-01 04:50:59
0.5,0.4165,1.0,9,4,1,2024-02-01 04:53:27
0.5,0.2656,0.0,0.997,-0.6625,0.0708,2024-02-01 05:08:11
1.0,0.0,0.6806,9,4,1,2024-02-01 05:09:52
0.5,1.0,0.8724,9,4,1,2024-02-01 05:11:33
1.0,0.0,0.0,9,4,1,2024-02-01 05:13:16
0.5,0.7877,0.308,1.0261,-0.0653,0.0582,2024-02-01 05:27:51
0.5,0.0,1.0,9,4,1,2024-02-01 05:29:35
0.5,0.2228,0.3273,9,4,1,2024-02-01 05:31:48
0.8106,1.0,0.6978,9,4,1,2024-02-01 05:33:30
0.7203,1.0,1.0,9,4,1,2024-02-01 05:35:12
0.7536,0.7771,0.0,0.2266,-0.0945,0.0329,2024-02-01 05:49:45
0.5,0.0,0.0,0.997,-0.6625,0.0708,2024-02-01 06:04:33
1.0,0.787,0.7775,9,-0.0358,0.0569,2024-02-01 10:31:06
0.7532,0.0,1.0,9,4,1,2024-02-01 10:32:55
0.7645,0.351,1.0,9,4,1,2024-02-01 10:35:04
1.0,0.8337,0.2094,9,4,1,2024-02-01 10:36:43
1.0,0.2536,1.0,9,4,1,2024-02-01 10:38:34
0.5,0.2633,0.6099,9,4,1,2024-02-01 10:40:50
0.5,1.0,0.2592,9,4,1,2024-02-01 10:42:35
0.7651,0.0,0.0,0.2228,-0.0671,0.0302,2024-02-01 10:57:13
0.7336,0.0,0.676,9,4,1,2024-02-01 10:59:05
0.7541,1.0,0.4177,9,4,1,2024-02-01 11:00:45
0.7603,1.0,0.0,0.2262,-0.0747,0.0311,2024-02-01 11:15:22
0.8574,0.7402,1.0,0.4554,-0.1555,0.0646,2024-02-01 11:30:26
1.0,0.5069,0.1913,9,4,1,2024-02-01 11:32:27
1.0,0.0,0.3924,9,4,1,2024-02-01 11:34:08
0.5,0.0,0.2994,9,4,1,2024-02-01 11:35:48
0.6439,0.7543,0.5202,0.4964,-0.1307,0.0634,2024-02-01 11:50:27
0.7441,0.611,0.1828,0.2428,-0.5411,0.0868,2024-02-01 12:05:48
0.6548,0.5902,1.0,1.2794,-0.6266,0.0955,2024-02-01 12:21:09
1.0,1.0,0.229,9,4,1,2024-02-01 12:23:24
0.5,0.4478,0.17,1.2026,-0.7738,-0.0638,2024-02-01 12:38:38
1.0,0.3777,0.797,9,4,1,2024-02-01 12:41:35
1.0,1.0,0.7752,9,4,1,2024-02-01 12:43:35
1.0,0.3879,0.0,9,4,1,2024-02-01 12:45:36
0.5,0.0,0.792,9,4,1,2024-02-01 12:47:50
0.5,0.5546,0.5249,1.4347,-0.7648,0.0916,2024-02-01 13:03:02
0.5,0.8162,0.0,0.997,-0.279,0.6953,2024-02-01 13:06:40
0.5,1.0,1.0,9,4,1,2024-02-01 13:09:12
0.7432,0.2972,0.0,0.2526,-0.279,0.6953,2024-02-01 13:13:30
1.0,0.7972,0.5517,9,-0.0135,0.0552,2024-02-01 13:28:08
0.8078,0.4052,0.39,0.2004,-0.6815,-0.112,2024-02-01 13:43:44
0.7149,0.2831,0.6309,0.4638,4,1,2024-02-01 13:46:36
0.5,0.2038,1.0,9,4,1,2024-02-01 13:48:29
0.7057,0.0,0.4096,9,4,1,2024-02-01 13:50:07
0.7702,0.3453,0.2789,0.2053,-0.5769,0.5961,2024-02-01 13:57:42
0.6926,0.5239,0.0,0.3155,-0.1836,0.0383,2024-02-01 14:12:23
0.5,0.8422,0.657,0.9425,0.0275,0.0516,2024-02-01 14:27:02
0.8409,0.834,0.3634,0.1905,0.0118,0.0509,2024-02-01 14:41:43
0.5,0.2901,0.8229,9,4,1,2024-02-01 14:43:53
1.0,0.7854,1.0,9,-0.0445,0.0581,2024-02-01 14:57:40
1.0,0.1344,0.1987,9,4,1,2024-02-01 14:59:21
1.0,0.5845,0.6601,9,-0.6561,0.0917,2024-02-01 15:13:18
0.8216,0.5224,0.8845,0.3602,-0.8591,0.1073,2024-02-01 15:28:09
1.0,0.1839,0.6724,9,4,1,2024-02-01 15:30:04
1.0,0.8303,0.0,9,4,1,2024-02-01 15:31:50
0.5,0.638,1.0,0.8971,-0.4582,0.0841,2024-02-01 15:46:21
0.5,0.6709,0.1673,1.1464,-0.3539,0.0784,2024-02-01 16:01:10
0.8419,1.0,0.1732,9,4,1,2024-02-01 16:02:56
0.6246,1.0,0.6816,9,4,1,2024-02-01 16:04:42
0.8868,0.0,0.848,9,4,1,2024-02-01 16:06:26
0.5,0.1657,0.1428,0.8995,4,1,2024-02-01 16:09:16
0.8694,0.939,0.8893,0.1939,0.1083,0.0428,2024-02-01 16:23:50
0.8708,0.0,0.539,9,4,1,2024-02-01 16:25:39
0.8379,0.1461,1.0,9,4,1,2024-02-01 16:27:32
0.6837,0.5417,0.5644,0.4567,-0.7759,0.0945,2024-02-01 16:42:12
