eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
0.8948,0.2147,0.3104,0.2434,4,1,2024-01-28 00:21:06
0.5377,0.2567,0.621,9,4,1,2024-01-28 00:23:06
0.5622,0.6769,0.9589,0.8232,0.9646,-0.0002,2024-01-28 00:37:25
0.8838,0.3415,0.3541,0.1917,4,1,2024-01-28 00:41:04
0.5048,0.1944,0.5982,9,4,1,2024-01-28 00:43:18
0.8931,0.1402,0.548,9,4,1,2024-01-28 00:45:45
0.9989,0.6255,0.5207,0.1043,0.4454,0.0095,2024-01-28 01:00:34
0.6333,0.3094,0.0738,0.4724,4,1,2024-01-28 01:03:35
0.7985,0.5599,0.3479,0.2023,-0.2366,0.0071,2024-01-28 01:18:11
0.7826,0.4944,0.7575,0.3341,-0.7476,0.0168,2024-01-28 01:32:54
0.8106,0.1027,0.8075,9,4,1,2024-01-28 01:34:47
0.9777,0.2839,0.2235,0.1031,4,1,2024-01-28 01:37:43
0.5194,0.3702,0.4919,1.2453,1.1605,1.0271,2024-01-28 01:47:52
0.5462,0.9024,0.8593,0.7357,2.0223,-0.0252,2024-01-28 02:02:25
0.646,0.6712,0.0364,0.4396,0.8996,0.0006,2024-01-28 02:17:02
0.5534,0.9104,0.6119,0.7165,2.0468,-0.0258,2024-01-28 02:31:41
0.5574,0.8514,0.7749,0.6778,1.8991,-0.0222,2024-01-28 02:46:22
0.5489,0.2768,0.0783,0.7395,4,1,2024-01-28 02:49:22
0.5872,0.376,0.3573,0.7737,4,1,2024-01-28 02:52:44
0.6919,0.218,0.5659,9,4,1,2024-01-28 02:54:51
1.0,1.0,0.0,9,4,1,2024-01-28 02:56:35
1.0,1.0,1.0,9,4,1,2024-01-28 02:58:19
0.5,1.0,0.0,0.997,-0.0322,-0.0037,2024-01-28 03:12:56
0.5,0.0,1.0,9,4,1,2024-01-28 03:14:42
1.0,1.0,0.4676,9,4,1,2024-01-28 03:16:28
1.0,0.0,0.0,9,4,1,2024-01-28 03:18:11
1.0,0.6237,0.0,9,4,1,2024-01-28 03:19:53
1.0,0.4085,1.0,9,4,1,2024-01-28 03:22:15
1.0,0.0,1.0,9,4,1,2024-01-28 03:23:57
0.7126,0.6397,0.5568,0.31,0.5589,0.0062,2024-01-28 03:38:24
0.5,0.0,0.0,0.997,-0.0322,-0.0037,2024-01-28 03:53:06
0.7167,1.0,0.2551,9,4,1,2024-01-28 03:54:53
0.5,0.3368,1.0,9,4,1,2024-01-28 03:57:01
1.0,0.7098,1.0,9,1.146,-0.0057,2024-01-28 04:10:42
0.5,0.0,0.3033,9,4,1,2024-01-28 04:12:27
0.5,0.7483,0.2952,1.0569,1.4014,-0.0093,2024-01-28 04:27:12
0.8332,1.0,0.7388,9,4,1,2024-01-28 04:29:00
1.0,0.8083,0.2339,9,4,1,2024-01-28 04:30:50
1.0,0.3228,0.7215,9,4,1,2024-01-28 04:32:54
0.7412,1.0,1.0,9,4,1,2024-01-28 04:34:38
0.7508,0.0,0.0,0.2381,1.6063,-0.0389,2024-01-28 04:49:07
0.5,0.5208,0.0,0.997,-0.0322,-0.0037,2024-01-28 05:03:53
1.0,0.0,0.3296,9,4,1,2024-01-28 05:05:42
0.7557,0.2414,1.0,9,4,1,2024-01-28 05:07:41
0.5,1.0,0.3142,9,4,1,2024-01-28 05:09:28
1.0,0.8077,0.7454,9,1.8741,-0.0196,2024-01-28 05:23:05
1.0,0.0,0.7149,9,4,1,2024-01-28 05:24:55
0.5,0.0,0.7298,9,4,1,2024-01-28 05:26:42
1.0,0.3055,0.0,9,4,1,2024-01-28 05:28:28
0.7312,0.0,0.4479,9,4,1,2024-01-28 05:30:17
0.7555,1.0,0.0,0.2357,1.6404,-0.0395,2024-01-28 05:44:50
0.7415,0.0,1.0,9,4,1,2024-01-28 05:46:44
0.5,0.563,0.7432,1.6801,-0.2063,0.0131,2024-01-28 06:01:29
0.7764,0.5621,1.0,1.7206,-0.2215,0.0116,2024-01-28 06:16:22
0.5,0.7846,0.0,0.997,-0.0322,-0.0037,2024-01-28 06:31:14
0.8213,0.8583,0.4767,0.1958,1.9096,-0.0234,2024-01-28 06:46:05
0.5,1.0,1.0,9,4,1,2024-01-28 06:48:03
0.8739,0.8094,0.0,0.1674,1.955,-0.049,2024-01-28 07:02:50
1.0,0.5667,0.797,9,-0.2389,0.0119,2024-01-28 07:16:49
0.7301,0.0,0.2004,9,4,1,2024-01-28 07:18:37
